,index,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
294,294,2020-12-15,6970034,42889,182799,964,42147.857142857145,662.8571428571429,295035.0,295035.0
295,295,2020-12-16,7040608,70574,183735,936,44593.71428571428,677.1428571428571,312156.0,312156.0
296,296,2020-12-17,7110434,69826,184827,1092,46947.857142857145,723.1428571428571,328635.0,328635.0
297,297,2020-12-18,7162978,52544,185650,823,46678.71428571428,744.7142857142857,326751.0,326751.0
298,298,2020-12-19,7213155,50177,186356,706,47575.42857142857,747.5714285714286,333028.0,333028.0
299,299,2020-12-20,7238600,25445,186764,408,48092.57142857143,766.0,336648.0,336648.0
300,300,2020-12-21,7263619,25019,187291,527,48067.71428571428,779.4285714285714,336474.0,336474.0
301,301,2020-12-22,7318821,55202,188259,968,49826.71428571428,780.0,348787.0,348787.0
302,302,2020-12-23,7365517,46696,189220,961,46415.57142857143,783.5714285714286,324909.0,324909.0
303,303,2020-12-24,7425593,60076,190006,786,45022.71428571428,739.8571428571429,315159.0,315159.0
304,304,2020-12-24,7425593,0,190006,0,37516.42857142857,622.2857142857143,262615.0,262615.0
305,305,2020-12-25,7448560,22967,190488,482,33629.28571428572,590.2857142857143,235405.0,235405.0
306,306,2020-12-26,7465806,17246,190795,307,32458.0,575.8571428571429,227206.0,227206.0
307,307,2020-12-27,7484285,18479,191139,344,31523.714285714286,549.7142857142857,220666.0,220666.0
308,308,2020-12-28,7504833,20548,191570,431,26573.14285714286,473.0,186012.0,186012.0
309,309,2020-12-29,7563551,58718,192681,1111,28290.571428571428,494.42857142857144,198034.0,198034.0
310,310,2020-12-30,7619200,55649,193875,1194,27658.14285714286,552.7142857142857,193607.0,193607.0
311,311,2020-12-31,7675973,56773,194949,1074,35768.57142857143,706.1428571428571,250380.0,250380.0
312,312,2021-01-01,7700578,24605,195411,462,36002.57142857143,703.2857142857143,252018.0,252018.0
313,313,2021-01-02,7716405,15827,195725,314,35799.857142857145,704.2857142857143,250599.0,250599.0
314,314,2021-01-03,7733746,17341,196018,293,35637.28571428572,697.0,249461.0,249461.0
315,315,2021-01-04,7753752,20006,196561,543,35559.857142857145,713.0,248919.0,248919.0
316,316,2021-01-05,7810400,56648,197732,1171,35264.142857142855,721.5714285714286,246849.0,246849.0
317,317,2021-01-06,7873830,63430,198974,1242,36375.71428571428,728.4285714285714,254630.0,254630.0
318,318,2021-01-07,7961673,87843,200498,1524,40814.28571428572,792.7142857142857,285700.0,285700.0
319,319,2021-01-08,8013708,52035,201460,962,44732.857142857145,864.1428571428571,313130.0,313130.0
320,320,2021-01-09,8075998,62290,202631,1171,51370.42857142857,986.5714285714286,359593.0,359593.0
321,321,2021-01-10,8105790,29792,203100,469,53149.142857142855,1011.7142857142857,372044.0,372044.0
322,322,2021-01-11,8131612,25822,203580,480,53980.0,1002.7142857142857,377860.0,377860.0
323,323,2021-01-12,8195637,64025,204690,1110,55033.857142857145,994.0,385237.0,385237.0
324,324,2021-01-13,8256536,60899,205964,1274,54672.28571428572,998.5714285714286,382706.0,382706.0
325,325,2021-01-13,8256536,0,205964,0,42123.28571428572,780.8571428571429,294863.0,294863.0
326,326,2021-01-14,8324294,67758,207095,1131,44369.42857142857,805.0,310586.0,310586.0
327,327,2021-01-15,8393492,69198,208246,1151,45356.28571428572,802.1428571428571,317494.0,317494.0
328,328,2021-01-16,8455059,61567,209296,1050,49895.57142857143,885.1428571428571,349269.0,349269.0
329,329,2021-01-17,8488099,33040,209847,551,50926.71428571428,895.2857142857143,356487.0,356487.0
330,330,2021-01-18,8511770,23671,210299,452,45161.857142857145,801.2857142857143,316133.0,316133.0
331,331,2021-01-19,8573864,62094,211491,1192,45332.57142857143,789.5714285714286,317328.0,317328.0
332,332,2021-01-20,8638249,64385,212831,1340,54530.42857142857,981.0,381713.0,381713.0
333,333,2021-01-21,8697368,59119,214147,1316,53296.28571428572,1007.4285714285714,373074.0,373074.0
334,334,2021-01-22,8753920,56552,215243,1096,51489.71428571428,999.5714285714286,360428.0,360428.0
335,335,2021-01-23,8816254,62334,216445,1202,51599.28571428572,1021.2857142857143,361195.0,361195.0
336,336,2021-01-24,8844577,28323,217037,592,50925.42857142857,1027.142857142857,356478.0,356478.0
337,337,2021-01-25,8871393,26816,217664,627,51374.71428571428,1052.142857142857,359623.0,359623.0
338,338,2021-01-26,8933356,61963,218878,1214,51356.0,1055.2857142857142,359492.0,359492.0
339,339,2021-01-27,8996876,63520,220161,1283,51232.42857142857,1047.142857142857,358627.0,358627.0
340,340,2021-01-28,9058687,61811,221547,1386,51617.0,1057.142857142857,361319.0,361319.0
341,341,2021-01-29,9118513,59826,222666,1119,52084.71428571428,1060.4285714285713,364593.0,364593.0
342,342,2021-01-30,9176975,58462,223945,1279,51531.57142857143,1071.4285714285713,360721.0,360721.0
343,343,2021-01-31,9204731,27756,224504,559,51450.57142857143,1066.7142857142858,360154.0,360154.0
344,344,2021-02-01,9229322,24591,225099,595,51132.71428571428,1062.142857142857,357929.0,357929.0
345,345,2021-02-02,9283418,54096,226309,1210,50008.857142857145,1061.5714285714287,350062.0,350062.0
346,346,2021-02-03,9339420,56002,227563,1254,48934.857142857145,1057.4285714285713,342544.0,342544.0
347,347,2021-02-04,9396293,56873,228795,1232,48229.42857142857,1035.4285714285713,337606.0,337606.0
348,348,2021-02-05,9447165,50872,230034,1239,46950.28571428572,1052.5714285714287,328652.0,328652.0
349,349,2021-02-06,9497795,50630,231012,978,45831.42857142857,1009.5714285714286,320820.0,320820.0
350,350,2021-02-07,9524640,26845,231534,522,45701.28571428572,1004.2857142857143,319909.0,319909.0
351,351,2021-02-08,9548079,23439,232170,636,45536.71428571428,1010.1428571428571,318757.0,318757.0
352,352,2021-02-09,9599565,51486,233520,1350,45163.857142857145,1030.142857142857,316147.0,316147.0
353,353,2021-02-10,9659167,59602,234850,1330,45678.142857142855,1041.0,319747.0,319747.0
354,354,2021-02-11,9713909,54742,236201,1351,45373.71428571428,1058.0,317616.0,317616.0
355,355,2021-02-12,9765455,51546,237489,1288,45470.0,1065.0,318290.0,318290.0
356,356,2021-02-13,9809754,44299,238532,1043,44565.57142857143,1074.2857142857142,311959.0,311959.0
357,357,2021-02-14,9834513,24759,239245,713,44267.57142857143,1101.5714285714287,309873.0,309873.0
358,358,2021-02-15,9866710,32197,239773,528,45518.71428571428,1086.142857142857,318631.0,318631.0
359,359,2021-02-16,9921981,55271,240940,1167,46059.42857142857,1060.0,322416.0,322416.0
360,360,2021-02-17,9978747,56766,242090,1150,45654.28571428572,1034.2857142857142,319580.0,319580.0
361,361,2021-02-18,10030626,51879,243457,1367,45245.28571428572,1036.5714285714287,316717.0,316717.0
