index,estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
9708,Rondônia,2020-08-31,55153.0,474,1148,19,480.2857142857143,10.714285714285714,3362.0,75.0
9709,Rondônia,2020-09-01,55768.0,615,1155,7,464.85714285714283,9.714285714285714,3254.0,68.0
9710,Rondônia,2020-09-02,56411.0,643,1161,6,470.2857142857143,8.714285714285714,3292.0,61.0
9711,Rondônia,2020-09-03,56618.0,207,1165,4,401.85714285714283,8.0,2813.0,56.0
9712,Rondônia,2020-09-04,57352.0,734,1172,7,449.57142857142856,8.285714285714286,3147.0,58.0
9713,Rondônia,2020-09-05,57865.0,513,1180,8,481.2857142857143,7.857142857142857,3369.0,55.0
9714,Rondônia,2020-09-06,58066.0,201,1185,5,483.85714285714283,8.0,3387.0,56.0
9715,Rondônia,2020-09-07,58237.0,171,1187,2,440.57142857142856,5.571428571428571,3084.0,39.0
9716,Rondônia,2020-09-08,58559.0,322,1193,6,398.7142857142857,5.428571428571429,2791.0,38.0
9717,Rondônia,2020-09-09,59196.0,637,1207,14,397.85714285714283,6.571428571428571,2785.0,46.0
9718,Rondônia,2020-09-10,59620.0,424,1217,10,428.85714285714283,7.428571428571429,3002.0,52.0
9719,Rondônia,2020-09-11,60038.0,418,1231,14,383.7142857142857,8.428571428571429,2686.0,59.0
9720,Rondônia,2020-09-12,60362.0,324,1240,9,356.7142857142857,8.571428571428571,2497.0,60.0
9721,Rondônia,2020-09-13,60484.0,122,1246,6,345.42857142857144,8.714285714285714,2418.0,61.0
9722,Rondônia,2020-09-14,60746.0,262,1253,7,358.42857142857144,9.428571428571429,2509.0,66.0
9723,Rondônia,2020-09-15,61260.0,514,1269,16,385.85714285714283,10.857142857142858,2701.0,76.0
9724,Rondônia,2020-09-16,61619.0,359,1277,8,346.14285714285717,10.0,2423.0,70.0
9725,Rondônia,2020-09-17,62158.0,539,1289,12,362.57142857142856,10.285714285714286,2538.0,72.0
9726,Rondônia,2020-09-18,62495.0,337,1294,5,351.0,9.0,2457.0,63.0
9727,Rondônia,2020-09-19,62697.0,202,1297,3,333.57142857142856,8.142857142857142,2335.0,57.0
9728,Rondônia,2020-09-20,62863.0,166,1300,3,339.85714285714283,7.714285714285714,2379.0,54.0
9729,Rondônia,2020-09-21,63267.0,404,1305,5,360.14285714285717,7.428571428571429,2521.0,52.0
9730,Rondônia,2020-09-22,63781.0,514,1312,7,360.14285714285717,6.142857142857143,2521.0,43.0
9731,Rondônia,2020-09-23,64306.0,525,1320,8,383.85714285714283,6.142857142857143,2687.0,43.0
9732,Rondônia,2020-09-24,64481.0,175,1323,3,331.85714285714283,4.857142857142857,2323.0,34.0
9733,Rondônia,2020-09-25,64732.0,251,1328,5,319.57142857142856,4.857142857142857,2237.0,34.0
9734,Rondônia,2020-09-26,64923.0,191,1333,5,318.0,5.142857142857143,2226.0,36.0
9735,Rondônia,2020-09-27,65208.0,285,1336,3,335.0,5.142857142857143,2345.0,36.0
9736,Rondônia,2020-09-28,65386.0,178,1340,4,302.7142857142857,5.0,2119.0,35.0
9737,Rondônia,2020-09-29,65673.0,287,1351,11,270.2857142857143,5.571428571428571,1892.0,39.0
9738,Rondônia,2020-09-30,65911.0,238,1357,6,229.28571428571428,5.285714285714286,1605.0,37.0
9739,Rondônia,2020-10-01,66261.0,350,1367,10,254.28571428571428,6.285714285714286,1780.0,44.0
9740,Rondônia,2020-10-02,66473.0,212,1368,1,248.71428571428572,5.714285714285714,1741.0,40.0
9741,Rondônia,2020-10-03,66576.0,103,1371,3,236.14285714285714,5.428571428571429,1653.0,38.0
9742,Rondônia,2020-10-04,66623.0,47,1371,0,202.14285714285714,5.0,1415.0,35.0
9743,Rondônia,2020-10-05,66783.0,160,1375,4,199.57142857142858,5.0,1397.0,35.0
9744,Rondônia,2020-10-06,67014.0,231,1384,9,191.57142857142858,4.714285714285714,1341.0,33.0
9745,Rondônia,2020-10-07,67181.0,167,1385,1,181.42857142857142,4.0,1270.0,28.0
9746,Rondônia,2020-10-08,67323.0,142,1390,5,151.71428571428572,3.2857142857142856,1062.0,23.0
9747,Rondônia,2020-10-09,67479.0,156,1392,2,143.71428571428572,3.4285714285714284,1006.0,24.0
9748,Rondônia,2020-10-10,67812.0,333,1396,4,176.57142857142858,3.5714285714285716,1236.0,25.0
9749,Rondônia,2020-10-11,67938.5,126,1398,2,187.85714285714286,3.857142857142857,1315.0,27.0
9750,Rondônia,2020-10-12,67973.0,34,1398,0,169.85714285714286,3.2857142857142856,1189.0,23.0
9751,Rondônia,2020-10-13,68126.0,153,1406,8,158.71428571428572,3.142857142857143,1111.0,22.0
9752,Rondônia,2020-10-14,68393.0,267,1411,5,173.0,3.7142857142857144,1211.0,26.0
9753,Rondônia,2020-10-15,68612.0,219,1416,5,184.0,3.7142857142857144,1288.0,26.0
9754,Rondônia,2020-10-16,68823.0,211,1421,5,191.85714285714286,4.142857142857143,1343.0,29.0
9755,Rondônia,2020-10-17,68907.0,84,1421,0,156.28571428571428,3.5714285714285716,1094.0,25.0
9756,Rondônia,2020-10-18,68907.0,0,1421,0,138.28571428571428,3.2857142857142856,968.0,23.0
9757,Rondônia,2020-10-19,69213.0,306,1427,6,177.14285714285714,4.142857142857143,1240.0,29.0
9758,Rondônia,2020-10-20,69332.0,119,1429,2,172.28571428571428,3.2857142857142856,1206.0,23.0
9759,Rondônia,2020-10-21,69531.0,199,1429,0,162.57142857142858,2.5714285714285716,1138.0,18.0
9760,Rondônia,2020-10-22,69806.0,275,1430,1,170.57142857142858,2.0,1194.0,14.0
9761,Rondônia,2020-10-23,70041.0,235,1431,1,174.0,1.4285714285714286,1218.0,10.0
9762,Rondônia,2020-10-24,70350.0,309,1434,3,206.14285714285714,1.8571428571428572,1443.0,13.0
9763,Rondônia,2020-10-25,70461.0,111,1436,2,222.0,2.142857142857143,1554.0,15.0
9764,Rondônia,2020-10-26,70600.0,139,1442,6,198.14285714285714,2.142857142857143,1387.0,15.0
9765,Rondônia,2020-10-27,70887.0,287,1448,6,222.14285714285714,2.7142857142857144,1555.0,19.0
9766,Rondônia,2020-10-28,71121.0,234,1449,1,227.14285714285714,2.857142857142857,1590.0,20.0
9767,Rondônia,2020-10-29,71351.0,230,1454,5,220.71428571428572,3.4285714285714284,1545.0,24.0
9768,Rondônia,2020-10-30,71496.0,145,1455,1,207.85714285714286,3.4285714285714284,1455.0,24.0
9769,Rondônia,2020-10-31,71666.0,170,1457,2,188.0,3.2857142857142856,1316.0,23.0
9770,Rondônia,2020-11-01,71889.0,223,1457,0,204.0,3.0,1428.0,21.0
9771,Rondônia,2020-11-02,71953.0,64,1457,0,193.28571428571428,2.142857142857143,1353.0,15.0
9772,Rondônia,2020-11-03,72049.0,96,1460,3,166.0,1.7142857142857142,1162.0,12.0
9773,Rondônia,2020-11-04,72295.0,246,1464,4,167.71428571428572,2.142857142857143,1174.0,15.0
9774,Rondônia,2020-11-05,72630.0,335,1470,6,182.71428571428572,2.2857142857142856,1279.0,16.0
9775,Rondônia,2020-11-06,72827.0,197,1473,3,190.14285714285714,2.5714285714285716,1331.0,18.0
9776,Rondônia,2020-11-07,73040.0,213,1474,1,196.28571428571428,2.4285714285714284,1374.0,17.0
9777,Rondônia,2020-11-08,73311.0,271,1476,2,203.14285714285714,2.7142857142857144,1422.0,19.0
9778,Rondônia,2020-11-09,73490.0,179,1478,2,219.57142857142858,3.0,1537.0,21.0
9779,Rondônia,2020-11-10,73688.0,198,1482,4,234.14285714285714,3.142857142857143,1639.0,22.0
9780,Rondônia,2020-11-11,73990.0,302,1486,4,242.14285714285714,3.142857142857143,1695.0,22.0
9781,Rondônia,2020-11-12,74248.0,258,1492,6,231.14285714285714,3.142857142857143,1618.0,22.0
9782,Rondônia,2020-11-13,74598.0,350,1497,5,253.0,3.4285714285714284,1771.0,24.0
9783,Rondônia,2020-11-14,74981.0,383,1501,4,277.2857142857143,3.857142857142857,1941.0,27.0
9784,Rondônia,2020-11-15,75182.0,201,1501,0,267.2857142857143,3.5714285714285716,1871.0,25.0
9785,Rondônia,2020-11-16,75468.0,286,1503,2,282.57142857142856,3.5714285714285716,1978.0,25.0
9786,Rondônia,2020-11-17,75652.0,184,1508,5,280.57142857142856,3.7142857142857144,1964.0,26.0
9787,Rondônia,2020-11-18,76019.0,367,1511,3,289.85714285714283,3.5714285714285716,2029.0,25.0
9788,Rondônia,2020-11-19,76377.0,358,1513,2,304.14285714285717,3.0,2129.0,21.0
9789,Rondônia,2020-11-20,76729.0,352,1515,2,304.42857142857144,2.5714285714285716,2131.0,18.0
9790,Rondônia,2020-11-21,77064.0,335,1516,1,297.57142857142856,2.142857142857143,2083.0,15.0
